title,artist_name,style,genre,description
Landscape with windswept trees,van Gogh Vincent ,Realism,landscape,"The nearly two years spent in Nuenen, in the southern Netherlands, were very productive in van Gogh’s early artistic career. The present work was painted in 1885, at the very end of this period, just before his departure for Antwerp; his celebrated masterpiece De Aardappeleters (The Potato Eaters), now in the Van Gogh Museum, Amsterdam, was painted at this same time. In March of 1885, van Gogh’s father, the Reverend Theodorus van Gogh, collapsed on the threshold of the family home, where the artist still lived. The experience was profoundly influential on this transitional period in van Gogh’s oeuvre. By May, following his father’s death, the artist left the parsonage and rented a small studio and sleeping quarters on his own in town.
 “I have lately been making some studies of the fall landscape outdoors,” wrote van Gogh in October of 1885 (quoted in Jan Hulsker, op. cit., p. 208). The works created in October and November of this year, the present painting included, are all the more poignant and emotive when considered in context of the changes the artist experienced during this year, and the looser application of paint that defines the foliage prefigures the more fiercely dramatic brushwork so characteristic of his later pictures."
The Potato Eaters,van Gogh Vincent ,Realism,genre painting,"For The Potato Eaters, Van Gogh’s first major work, he wanted to depict peasants as they really were. He thus chose coarse and ugly models, so they would look as natural as possible in the final work. He made sketches of the work and sent them to his brother, who helped Van Gogh make adjustment in the composition. As far as two years after Van Gogh completed this painting, he considered it his finest work. This painting has also been a main target for art thieves, who have stolen it not once, but twice times. An early version of the painting was stolen in 1988, but later returned with no ransom, and again in 1991, when it was abandoned by the thieves and recovered."
Still life with meadow flowers and roses,van Gogh Vincent ,Realism,still life,"The painting, on a 100 centimeter by 80 centimeter (40x31 inch) canvas, was bought by the Kroeller-Mueller Museum in 1974 as a Van Gogh. The work was thought to come from the artist's period living with his brother Theo in Paris from late 1886.

Experts thought the canvas was too large for that period, the depiction of a vase brimming over with flowers and yet more flowers lying on a table in the foreground was too exuberant, too busy. The signature was in an unusual position for Van Gogh — the top right hand corner.

With the doubts piling up, the museum in 2003 decided to attribute the painting to an anonymous artist instead of to Van Gogh.

But the detective work did not end there.

An X-ray taken five years earlier had already revealed an indistinct image of the wrestlers and continued to interest researchers.

Now, a new more detailed X-ray has shown the wrestlers in more detail, along with the brush strokes and pigments used. They all pointed back to Van Gogh.

Having models pose half naked was a defining characteristic of the Antwerp academy where Van Gogh studied in early 1886. So was the size of the canvas, the Kroeller-Mueller Museum said in a statement.

Vincent wrote to his brother about needing the large canvas, new brushes and paint. Theo helped the penniless artist buy the materials and a week later Van Gogh wrote back that he was delighted with the painting of two wrestlers.

Brush strokes and pigments in the wrestlers painting also corresponded with what experts now know about Van Gogh's work in Antwerp.

The wrestlers also help explain the ""uncharacteristic exuberance"" of the floral still life, the Kroeller-Mueller Museum statement said — Van Gogh had to cover up all of the old image with his new work."
Nude Woman on a Bed,van Gogh Vincent ,Post-Impressionism,genre painting,"Van Gogh painted very few nudes, partially because he rarely had enough money for hiring models. This work presents the female body with a curious mixture of allure and revulsion. Curvy hips and closed eyes are traditional signs of sensuality, but the exposed body hair and coarse facial features certainly challenge 19th-century conventions of beauty.


Vincent van Gogh
Painting, Oil on Canvas
Paris: early year, 1887
The Barnes Foundation
Philadelphia, Pennsylvania, United States of America, North America
F: 330, JH: 1214

Overall (oval): 23 1/2 x 29 in. (59.7 x 73.7 cm)"
Red Vineyards at Arles,van Gogh Vincent ,Post-Impressionism,landscape,вава
Irises,van Gogh Vincent ,Post-Impressionism,landscape,"Van Gogh painted Irises the year before his death, in 1889, during his stay at the asylum in Saint Remy de Provence. Van Gogh often used painting as a way to keep himself from going insane, and this painting was one such work. It was painted before his first mental attack at the asylum. Van Gogh sent the painting to his brother Theo, who immediately sent it to the Salon des Independants that same year, where it was exhibited and highly praised. It continued to set high price records at auction until it was sold to the J. Paul Getty Museum in Los Angeles in 1990."
Landscape with House and Ploughman,van Gogh Vincent ,Cloisonnism,landscape,"This landscape is unusual in its elevated, almost bird's-eye point of view. Such an angle can be seen as an attempt to look at the world in the Japanese way, natural for an artist obsessed with Japan. However, we cannot speak of serious influence here: Van Gogh's view was individual and came from his own impressions. The dynamism distinguishing this canvas is alien to Far Eastern landscapes. The painting has an enormous internal energy. The crossing diagonals forming the borders of the fields and the ploughed furrows, the contours of the roofs, the row of cypresses - such vectors strain the composition, but not so much as to disturb the unity of the whole. It is a study from nature. The colouring of the painting and the action of the figures show us that it was executed in autumn, a time when Van Gogh worked not only on the hospital grounds, but outside them as well."
Madame Roulin Rocking the Cradle (A Lullaby),van Gogh Vincent ,Post-Impressionism,portrait,"Van Gogh painted Augustine Roulin, the wife of Joseph Roulin, in bold, exaggerated colors against a vividly patterned background; the rope in her hands leads to a cradle. At right, the painter inscribed the title ""La Berceuse,"" which means both ""lullaby"" and ""she who rocks the cradle."" Van Gogh once wrote, ""I want to paint men and women with that something of the eternal which the halo used to symbolize, and which we seek to convey by the actual radiance and vibration of our coloring.""

[url href=https://collections.mfa.org/objects/33277/lullaby-madame-augustine-roulin-rocking-a-cradle-la-berceu?ctx=ca4ab534-f014-4353-9103-ba5768390e1d&idx=0]Boston MFA Website for the painting[/url]"
Still Life - Vase with Twelve Sunflowers,van Gogh Vincent ,Post-Impressionism,flower painting,"Van Gogh created a series of sunflower paintings in 1888. He created them as decorations for the Yellow House in Arles in which Van Gogh’s houseguest, Paul Gaugin would be staying, Unfortunately, due to a falling-out with Gaugin, after which Van Gogh sliced off his own earlobe in a paranoid panic, Van Gogh was never able to decorate his yellow house. He instead sent the paintings to exhibition, imagining the two sunflower paintings one either side of his Berceuse painting, and calling it the Berceuse Triptych, exhibiting the paintings at the Les XX exhibit in Paris. He later displayed all three paintings together at the aforementioned exhibit in 1890."
The Starry Night,van Gogh Vincent ,Post-Impressionism,cloudscape,"Van Gogh's night sky is a field of roiling energy. Below the exploding stars, the village is a place of quiet order. Connecting earth and sky is the flamelike cypress, a tree traditionally associated with graveyards and mourning. But death was not ominous for van Gogh. ""Looking at the stars always makes me dream,"" he said, ""Why, I ask myself, shouldn't the shining dots of the sky be as accessible as the black dots on the map of France? Just as we take the train to get to Tarascon or Rouen, we take death to reach a star.""
The artist wrote of his experience to his brother Theo: ""This morning I saw the country from my window a long time before sunrise, with nothing but the morning star, which looked very big."" This morning star, or Venus, may be the large white star just left of center in The Starry Night. The hamlet, on the other hand, is invented, and the church spire evokes van Gogh's native land, the Netherlands. The painting, like its daytime companion, The Olive Trees, is rooted in imagination and memory. Leaving behind the Impressionist doctrine of truth to nature in favor of restless feeling and intense color, as in this highly charged picture, van Gogh made his work a touchstone for all subsequent Expressionist painting."
Houses in Auvers 2,van Gogh Vincent ,Post-Impressionism,landscape,"In May 1890, van Gogh moved from the south of France to Auvers, northwest of Paris, painting many of his finest pictures there in a feverish spurt of activity before his suicide in July. Houses at Auvers shows the landscape of early summer. The view from above creates a flattened tapestry of shapes in which the tiled and thatched roofs of the houses form a mesmerizing patchwork of color.

[url href=https://collections.mfa.org/objects/33278/houses-at-auvers?ctx=ba6379fd-8457-4b21-985c-037c940d6b7e&idx=0]Boston MFA Website for the painting[/url]"
